 | Left Back: 16.99565 | Left Front: 17.54445 | Front Left: 100.2589 | Front Right: 1026.29 | Right Front: 118.0606 | Straight 2
 | Left Back: 16.89275 | Left Front: 17.54445 | Front Left: 101.2021 | Front Right: 452.8286 | Right Front: 56.9037 | Straight 2
 | Left Back: 16.61835 | Left Front: 18.2133 | Front Left: 98.6125 | Front Right: 1026.256 | Right Front: 120.6502 | Straight 2
 | Left Back: 17.5959 | Left Front: 18.33335 | Front Left: 94.44505 | Front Right: 1026.239 | Right Front: 104.958 | Straight 2
 | Left Back: 18.2476 | Left Front: 18.23045 | Front Left: 87.85945 | Front Right: 1026.273 | Right Front: 58.67015 | Straight 2
 | Left Back: 17.30435 | Left Front: 18.1447 | Front Left: 70.76089 | Front Right: 1026.239 | Right Front: 58.67015 | Straight 2
 | Left Back: 18.8993 | Left Front: 18.71065 | Front Left: 106.33 | Front Right: 1026.427 | Right Front: 183.8995 | Straight 2
 | Left Back: 19.4481 | Left Front: 19.0708 | Front Left: 130.34 | Front Right: 1026.307 | Right Front: 73.98511 | Straight 2
 | Left Back: 20.45995 | Left Front: 19.1394 | Front Left: 63.78085 | Front Right: 1026.084 | Right Front: 500.9001 | Straight 2
 | Left Back: 20.4771 | Left Front: 18.6592 | Front Left: 79.04435 | Front Right: 97.46345 | Right Front: 62.2888 | Straight 2
 | Left Back: 19.46525 | Left Front: 18.53915 | Front Left: 103.4145 | Front Right: 82.32 | Right Front: 149.2736 | Straight 2
 | Left Back: 20.4771 | Left Front: 17.57875 | Front Left: 99.5043 | Front Right: 69.85195 | Right Front: 298.4271 | Straight 2
 | Left Back: 18.88215 | Left Front: 16.85845 | Front Left: 63.2835 | Front Right: 1026.239 | Right Front: 1209.298 | Straight 2
 | Left Back: 18.8993 | Left Front: 15.778 | Front Left: 57.43535 | Front Right: 1026.119 | Right Front: 108.4394 | Straight 2
 | Left Back: 17.54445 | Left Front: 15.5379 | Front Left: 69.04591 | Front Right: 1026.273 | Right Front: 129.3282 | Straight 2
 | Left Back: 16.2925 | Left Front: 15.4007 | Front Left: 58.36145 | Front Right: 1026.205 | Right Front: 70.41791 | Straight 2
 | Left Back: 15.96665 | Left Front: 14.3374 | Front Left: 81.4968 | Front Right: 247.2859 | Right Front: 102.0425 | Straight 2
 | Left Back: 15.2292 | Left Front: 14.52605 | Front Left: 61.4656 | Front Right: 247.9719 | Right Front: 57.1438 | Straight 2
 | Left Back: 16.10385 | Left Front: 14.62895 | Front Left: 110.223 | Front Right: 180.0921 | Right Front: 177.331 | Straight 2
 | Left Back: 16.00095 | Left Front: 14.2345 | Front Left: 59.21895 | Front Right: 220.9949 | Right Front: 74.6711 | Straight 2
 | Left Back: 15.3321 | Left Front: 14.59465 | Front Left: 155.5333 | Front Right: 104.5121 | Right Front: 71.56696 | Straight 2
 | Left Back: 15.76085 | Left Front: 14.08015 | Front Left: 102.4198 | Front Right: 144.6945 | Right Front: 69.8348 | Straight 2
 | Left Back: 14.25165 | Left Front: 14.2688 | Front Left: 159.7694 | Front Right: 70.9324 | Right Front: 51.94735 | Straight 2
 | Left Back: 14.97195 | Left Front: 14.4746 | Front Left: 56.88655 | Front Right: 166.9895 | Right Front: 40.8856 | Straight 2
 | Left Back: 15.31495 | Left Front: 15.17775 | Front Left: 63.2835 | Front Right: 136.5826 | Right Front: 175.3073 | Straight 2
 | Left Back: 13.8229 | Left Front: 15.778 | Front Left: 64.80984 | Front Right: 115.4881 | Right Front: 282.975 | Straight 2
 | Left Back: 15.2978 | Left Front: 16.61835 | Front Left: 61.00255 | Front Right: 105.4211 | Right Front: 596.8199 | Straight 2
 | Left Back: 15.69225 | Left Front: 17.33865 | Front Left: 143.2025 | Front Right: 182.2702 | Right Front: 491.5705 | Straight 2
 | Left Back: 25.8622 | Left Front: 24.98755 | Front Left: 3.9788 | Front Right: 4.2532 | Right Front: 155.3104 | Back 1
 | Left Back: 27.3714 | Left Front: 25.29625 | Front Left: 5.2822 | Front Right: 4.3561 | Right Front: 1209.195 | Back 1
 | Left Back: 28.2975 | Left Front: 25.5192 | Front Left: 8.6093 | Front Right: 7.59745 | Right Front: 491.1074 | Back 1
 | Left Back: 29.10355 | Left Front: 25.5192 | Front Left: 12.02215 | Front Right: 9.7755 | Right Front: 490.9531 | Move Right 1
 | Left Back: 28.3318 | Left Front: 26.08515 | Front Left: 14.52605 | Front Right: 11.8678 | Right Front: 58.0013 | Move Right 1
 | Left Back: 30.3898 | Left Front: 29.1207 | Front Left: 15.52075 | Front Right: 12.84535 | Right Front: 57.967 | Move Right 1
 | Left Back: 36.47805 | Left Front: 33.0652 | Front Left: 16.2582 | Front Right: 12.15935 | Right Front: 57.77835 | Clockwise 1
 | Left Back: 41.55445 | Left Front: 38.4503 | Front Left: 15.9495 | Front Right: 11.9021 | Right Front: 66.4048 | Clockwise 1
